Species,Type,Dead Code,X,Y,Diam10,Height,dead,DBH,SnagDecayClass
PISY,Sapling,Alive,7.0589,3.90804,4.42113,3.02203,0,2.34336,NA
PISY,Sapling,Alive,6.1085,6.35753,5.07071,3.26081,0,2.69868,NA
PISY,Sapling,Alive,5.18712,3.96669,6.48441,3.76772,0,3.47197,NA
PISY,Sapling,Alive,3.21156,4.53464,9.71057,4.86177,0,5.23668,NA
PISY,Sapling,Alive,6.47447,0.962817,11.0175,5.28131,0,5.95158,NA
PISY,Adult,Alive,5.2699,6.72995,NA,6.17645,0,7.5566700000000004,0
PISY,Adult,Alive,5.76064,1.42828,NA,6.22026,0,7.63823,0
PISY,Adult,Alive,5.99547,3.47113,NA,6.2671,0,7.72575,0
PISY,Adult,Alive,4.84752,3.92242,NA,6.58238,0,8.32378,0
PISY,Adult,Alive,5.26664,7.89572,NA,6.74164,0,8.63198,0
PISY,Adult,Alive,2.56972,1.4547,NA,7.41703,0,9.98761,0
PISY,Adult,Alive,3.97476,2.25463,NA,8.61707,0,12.6164,0
PISY,Adult,Alive,7.73099,0.554596,NA,9.11409,0,13.8012,0
PISY,Adult,Alive,4.09146,6.60731,NA,9.11698,0,13.8083,0
PISY,Snag,Alive,4.05355,3.29511,NA,9.69424,NA,15.2674,5
PISY,Adult,Alive,4.32369,5.74083,NA,10.0766,0,16.2882,0
PISY,Adult,Alive,7.5091,0.857451,NA,10.4354,0,17.2898,0
PISY,Adult,Alive,2.88975,7.4178,NA,11.023,0,19.0323,0
PISY,Adult,Alive,7.79102,7.90885,NA,11.2535,0,19.7542,0
PISY,Adult,Alive,4.75919,0.710969,NA,11.2717,0,19.812,0
PISY,Adult,Alive,2.72599,5.31529,NA,11.5495,0,20.7159,0
PISY,Adult,Alive,7.30356,7.49274,NA,11.6407,0,21.0208,0
PISY,Adult,Alive,0.156825,2.25745,NA,11.8279,0,21.6596,0
PISY,Adult,Alive,2.57278,7.88219,NA,13.4829,0,28.2617,0
PISY,Sapling,Alive,7.59115,13.2334,3.08478,2.51888,0,1.61238,NA
PISY,Sapling,Alive,2.8003,14.9318,3.14012,2.54004,0,1.64265,NA
