This dataset contains information on number of fires, total acres burned and total damage in dollars from 1933 to 2016, as gathered by the US Forest Service.
YEAR,n_fires,acres_burned,dollars_damage
1933,1994,129210,318636
1934,2338,363052,563710
1935,1447,127262,165543
1936,3805,756696,1877147
1937,2907,71312,151584
1938,4150,221061,404225
1939,2491,513620,847579
1940,4497,156015,272178
1941,5460,278599,515737
1942,5236,573597,1484864
1943,2163,553328,1502027
1944,2034,648838,1365126
1945,2594,509998,2085984
1946,2643,234879,622265
1947,2473,256472,2251605
1948,1973,133223,717564
1949,2608,132253,605102
1950,2264,303393,2025079
1951,2159,148360,1160098
1952,2263,120974,1120460
1953,2080,125150,686677
1954,2017,140072,1349158
1955,1941,161488,6732934
1956,1758,64617,764612
1957,2936,124316,547181
1958,3087,146159,1125731
1959,3167,147658,3012055
1960,2869,123743,2634066
1961,5005,327951,4538514
1962,5371,130098,1347064
1963,4672,37222,570967
1964,6262,219552,6472419
1965,5878,253138,5183049
1966,7638,119368,8042547
1967,4572,163160,6405532
1968,5696,121039,2537330
1969,5859,79195,1554437
1970,5170,208479,21032477
1971,6001,45008,5435880
1972,6167,64714,6697033
1973,6984,117669,9958751
1974,8509,93898,8538021
1975,8029,93967,10860095
1977,8132,123904,41657801
1978,8496,88586,26799516
1979,10038,247006,30474267
1980,9159,160291,17584633
1981,7497,209825,55070300
1982,5709,69158,22939500
1983,5969,70773,27922600
1984,7830,103670,23656700
1985,7238,223282,42981100
1986,7149,53631,19761900
1987,8063,86945,46814999
1988,8130,190835,64958220
1989,6635,73601,27365313
1990,7283,212142,95707749
1991,6238,23154,26904193
1992,7939,191490,170775023
1993,6988,122606,54077726
1994,7207,140792,42004781
1995,6601,121198,32457602
1996,7237,232624,100283172
1997,6835,57788,81919419
1998,5227,92456,27431318
1999,7562,285272,134258534
2000,5177,72718,29876853
2001,6223,90985,87295001
2002,5759,122809,173976860
2003,5961,404328,974186857
2004,5574,168134,126790417
2005,4908,74004,49392943
2006,4805,222896,60270382
2007,4111,530232,254172735
2008,4052,439717,889308348
2009,3391,107031,33956897
2010,3153,30234,3397442
2011,3555,151357,254534704
2012,3420,140818,28213200
2013,4152,142924,29799753
2014,3215,167532,20034168
2015,3543,297647,3061836666
2016,3233,250996,148266893
