state_code,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AL,1830000,1907000,1935000,1957000,1978000,2012000,2045000,2058000,2070000,2108000,2150000,2185000,2217000,2279000,2336000,2345000,2359000,2361000,2343000,2337000,2359000,2402000,2434000,2464000,2501000,2534000,2567000,2609000,2640000,2644000,2647000,2649000,2653000,2661000,2685000,2719000,2743000,2762000,2787000,2814000,2845000,2902000,2941000,2902000,2802000,2775000,2911000,2942000,2969000,3000000,3058000,3059000,3068000,3053000,3014000,3050000,3071000,3109000,3163000,3204000,3274000,3316000,3323000,3358000,3395000,3443000,3464000,3458000,3446000,3440000,3444354,3497076,3539400,3579780,3626499,3678814,3735139,3780403,3831836,3866248,3900368,3918531,3925266,3934102,3951820,3972523,3991569,4015264,4023844,4030222,4048508,4091025,4139269,4193114,4232965,4262731,4290403,4320281,4351037,4369862,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4785822,4801695,4817484,4833996,4849377,4858979
AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135000,158000,189000,205000,215000,222000,224000,231000,224000,224000,229000,238000,246000,256000,263000,271000,271000,278000,285000,296000,302583,315510,324464,330543,341063,376170,400969,403436,404766,402753,405315,418491,449606,488417,513702,532495,544268,539309,541983,547159,553120,569273,587073,596993,600624,601345,604918,608846,615205,619500,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,713856,722572,731081,737259,736732,738432
AZ,124000,131000,138000,144000,151000,158000,167000,176000,186000,196000,206000,212000,217000,236000,253000,263000,282000,311000,320000,329000,340000,351000,360000,371000,382000,393000,403000,414000,422000,430000,434000,429000,426000,426000,428000,434000,443000,453000,466000,484000,499000,490000,524000,692000,610000,594000,616000,653000,690000,714000,756000,785000,842000,894000,933000,987000,1053000,1125000,1193000,1261000,1321000,1407000,1471000,1521000,1556000,1584000,1614000,1646000,1682000,1737000,1775399,1895814,2008291,2124438,2223196,2284847,2346157,2425197,2515316,2635571,2737774,2810107,2889861,2968925,3067135,3183538,3308262,3437103,3535183,3622185,3679056,3762394,3867333,3993390,4147561,4306908,4432308,4552207,4667277,4778332,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6411999,6472867,6556236,6634997,6731484,6828065
AR,1314000,1341000,1360000,1384000,1419000,1447000,1465000,1484000,1513000,1545000,1583000,1610000,1636000,1664000,1688000,1702000,1719000,1737000,1749000,1742000,1756000,1769000,1772000,1784000,1800000,1812000,1826000,1840000,1847000,1852000,1859000,1848000,1836000,1854000,1878000,1890000,1892000,1903000,1928000,1948000,1955000,1969000,1977000,1843000,1768000,1762000,1797000,1836000,1825000,1844000,1908000,1901000,1838000,1780000,1734000,1725000,1704000,1733000,1726000,1756000,1789000,1806000,1853000,1875000,1897000,1894000,1899000,1901000,1902000,1913000,1923322,1972312,2018638,2059256,2101403,2159526,2170161,2209010,2243127,2271333,2288738,2293201,2294257,2305761,2319768,2327046,2331984,2342355,2342656,2346358,2354343,2370666,2394098,2423743,2450605,2480121,2504858,2524007,2538202,2551373,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2922297,2938430,2949300,2958765,2966369,2978204
CA,1490000,1550000,1623000,1702000,1792000,1893000,1976000,2054000,2161000,2282000,2406000,2534000,2668000,2811000,2934000,3008000,3071000,3171000,3262000,3339000,3554000,3795000,3991000,4270000,4541000,4730000,4929000,5147000,5344000,5531000,5711000,5824000,5894000,5963000,6060000,6175000,6341000,6528000,6656000,6785000,6950000,7237000,7735000,8506000,8945000,9344000,9559000,9832000,10064000,10337000,10677000,11134000,11635000,12251000,12746000,13133000,13713000,14264000,14880000,15467000,15870000,16497000,17072000,17668000,18151000,18585000,18858000,19176000,19394000,19711000,19971069,20345939,20585469,20868728,21173865,21537849,21935909,22352396,22835958,23256880,23800800,24285933,24820009,25360026,25844393,26441109,27102237,27777158,28464249,29218164,29950111,30414114,30875920,31147208,31317179,31493525,31780829,32217708,32682794,33145121,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37336011,37701901,38062780,38431393,38802500,39144818
CO,543000,581000,621000,652000,659000,680000,707000,733000,757000,775000,804000,821000,832000,835000,846000,868000,892000,910000,906000,938000,937000,961000,965000,984000,1014000,1019000,1016000,1028000,1014000,1008000,1040000,1056000,1066000,1071000,1075000,1078000,1090000,1104000,1112000,1120000,1130000,1124000,1113000,1153000,1137000,1116000,1203000,1237000,1263000,1295000,1325000,1326000,1365000,1431000,1493000,1546000,1625000,1664000,1667000,1710000,1769000,1844000,1899000,1936000,1970000,1985000,2007000,2053000,2120000,2166000,2209596,2303524,2404619,2495868,2541406,2586192,2632306,2696140,2766748,2849234,2908803,2977898,3061564,3133630,3169992,3208723,3237450,3260480,3262281,3275818,3303862,3367567,3459995,3560884,3653910,3738061,3812716,3891293,3968967,4056133,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5048575,5119661,5191709,5272086,5355866,5456574
CT,910000,931000,952000,972000,987000,1010000,1033000,1057000,1077000,1097000,1122000,1149000,1176000,1208000,1233000,1258000,1294000,1327000,1329000,1359000,1391000,1415000,1431000,1455000,1481000,1506000,1531000,1557000,1577000,1594000,1613000,1628000,1637000,1642000,1650000,1666000,1672000,1678000,1684000,1696000,1708000,1746000,1792000,1792000,1778000,1769000,1906000,1967000,2014000,2032000,2016000,2028000,2081000,2168000,2249000,2300000,2316000,2359000,2446000,2523000,2544000,2586000,2647000,2727000,2798000,2857000,2903000,2935000,2964000,3000000,3032217,3060938,3068699,3067814,3074047,3082500,3083335,3085722,3091627,3095917,3113174,3128836,3139013,3162354,3180014,3201131,3223740,3247291,3271953,3283403,3289056,3288640,3274997,3272325,3268346,3265293,3267030,3268514,3272563,3282031,3411777,3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3579345,3590537,3594362,3599341,3596677,3590886
DE,185000,187000,188000,190000,192000,194000,196000,197000,199000,201000,203000,207000,209000,213000,216000,217000,219000,222000,220000,221000,219000,216000,214000,215000,219000,222000,225000,229000,233000,236000,239000,242000,245000,248000,250000,252000,253000,254000,257000,263000,269000,275000,279000,282000,285000,286000,299000,305000,312000,316000,321000,331000,341000,351000,368000,389000,408000,426000,433000,441000,449000,461000,469000,483000,497000,507000,516000,525000,534000,540000,548104,564708,572913,577759,581418,586589,590166,591829,594776,594984,594919,595975,599148,605458,611565,618280,627559,636947,647622,658273,669063,680495,690158,699475,708416,718265,727090,735024,744066,753538,786373,795699,806169,818003,830803,845150,859268,871749,883874,891730,899731,907829,916881,925240,935614,945934
FL,530000,544000,565000,587000,599000,615000,628000,645000,684000,724000,756000,773000,801000,828000,871000,922000,924000,895000,865000,898000,962000,997000,1044000,1097000,1160000,1264000,1368000,1418000,1433000,1445000,1471000,1493000,1521000,1552000,1585000,1613000,1651000,1709000,1771000,1836000,1915000,2017000,2151000,2451000,2420000,2465000,2440000,2528000,2578000,2668000,2810000,2980000,3157000,3310000,3505000,3747000,4047000,4372000,4630000,4808000,5004000,5243000,5458000,5628000,5781000,5954000,6104000,6242000,6433000,6641000,6791418,7158304,7511463,7913696,8298762,8518422,8667379,8856183,9102032,9426159,9839835,10192774,10471407,10749851,11039925,11351118,11667505,11997283,12306395,12637715,13018365,13289497,13504775,13713593,13961798,14185403,14426911,14683350,14908230,15111244,16047515,16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18852220,19107900,19355257,19600311,19893297,20271272
GA,2220000,2263000,2305000,2346000,2387000,2427000,2466000,2505000,2543000,2580000,2618000,2644000,2676000,2733000,2776000,2810000,2856000,2885000,2941000,2870000,2926000,2965000,2965000,2954000,2920000,2883000,2869000,2891000,2903000,2903000,2910000,2924000,2935000,2950000,2964000,2955000,2978000,3037000,3091000,3120000,3119000,3179000,3209000,3245000,3176000,3119000,3242000,3272000,3259000,3325000,3458000,3531000,3584000,3558000,3602000,3636000,3701000,3766000,3804000,3868000,3956000,4015000,4086000,4172000,4258000,4332000,4379000,4408000,4482000,4551000,4587930,4711550,4809490,4910374,4999419,5064075,5132812,5219697,5295751,5401384,5486174,5568345,5649792,5728250,5834954,5962661,6084666,6208467,6316142,6411099,6506531,6621279,6759474,6894092,7045900,7188538,7332225,7486094,7636522,7788240,8227303,8377038,8508256,8622793,8769252,8925922,9155813,9349988,9504843,9620846,9714464,9813201,9919000,9994759,10097343,10214860
