Site	Species	Tree_number	Diam_2015	Diam_2016	Diam_2017	Hei_2015	Hei_2016	Hei_2017
Montella	Abies	1	4.77	5.45	7.08	32.16	42.85	52.56
Montella	Abies	2	4.72	5.53	7.7	11.42	19	19.93
Montella	Abies	3	5.59	7.98	8.48	24.45	27.66	39.73
Montella	Abies	4	0.49	0.9	3.76	21.13	26.51	37.13
Montella	Abies	5	4.24	6.17	Dead	6.32	16.95	Dead
Montella	Abies	6	1.72	3.5	6.39	3.74	10.28	20.47
Montella	Abies	7	4.21	4.99	7.31	10.79	19.6	27.83
Montella	Abies	8	4.93	7.49	7.57	25.68	35.53	37.77
Montella	Abies	9	4.08	4.69	6.25	29.71	37.58	39.57
Montella	Abies	10	3.9	5.89	7.03	24.07	27.06	36.12
Montella	Abies	11	0.66	2.51	4.02	5.63	11.93	23.23
Montella	Abies	12	1.17	3.28	4	12.9	18.41	31.39
Montella	Abies	13	0.85	3.5	Dead	16.13	24.45	Dead
Montella	Abies	14	0.42	0.7	3.57	10.59	15.85	20.95
Montella	Abies	15	1.14	2.12	2.59	25.63	30.84	31.49
Montella	Abies	16	0.71	1.68	4.3	34.21	36.83	37.6
Montella	Abies	17	1.41	4.11	4.53	22.61	35.44	45.55
Montella	Abies	18	4.17	7.09	10.04	32.19	41.44	46.95
Montella	Abies	19	0.06	2.66	4.89	17.12	18.28	23.84
Montella	Abies	20	0.42	0.88	2.19	2.02	2.46	12.34
Montella	Pinus	21	5.15	5.41	7.15	29.56	42.42	46.97
Montella	Pinus	22	2.87	4.54	6.25	4.53	14.7	15.42
Montella	Pinus	23	3.36	4.83	5.89	14.21	26.93	36.51
Montella	Pinus	24	2.54	2.98	4.85	29.53	34.69	37.26
Montella	Pinus	25	2.96	3.39	5.28	21.97	26.27	33.29
Montella	Pinus	26	2.61	4.61	Dead	16.62	25.96	Dead
Montella	Pinus	27	2.45	4.41	5.18	6.3	16.11	21.34
Montella	Pinus	28	5.86	6.88	8	13.36	23.82	27.18
Montella	Pinus	29	4.43	4.75	5.26	17.07	18.12	18.15
Montella	Pinus	30	2.64	3.61	4.61	7.64	15.3	27.84
Montella	Pinus	31	4.89	5.79	6	27.43	31.69	39.49
Montella	Pinus	32	5.22	6.54	6.57	7.09	16.91	29.2
Montella	Pinus	33	1.89	4.01	4.67	18.16	18.56	29.14
Montella	Pinus	34	1.15	3.58	5.69	16.34	21.08	21.79
Montella	Pinus	35	4.1	6.25	7.39	21.98	24.74	26.61
Montella	Pinus	36	3.24	3.57	4.93	21.97	22.87	33.63
Montella	Pinus	37	0.95	1.66	2.88	25.63	28.35	40.56
Montella	Pinus	38	5.37	Dead	Dead	10.37	Dead	Dead
Montella	Pinus	39	5.13	6.08	6.72	21.66	34.4	41.71
Montella	Pinus	40	0.15	2.28	2.55	8.38	16.4	19.68
Pallerols	Abies	1	0.74	1.57	3.7	27.78	37.52	47.06
Pallerols	Abies	2	2.27	3.31	4.53	8.98	14.85	15.12
Pallerols	Abies	3	5.95	6.1	6.92	22.13	30.48	43.16
Pallerols	Abies	4	0.69	0.75	2.46	23.11	32.28	45.02
Pallerols	Abies	5	3.58	4.64	6.24	9.61	12.02	12.39
Pallerols	Abies	6	2.48	4.43	6.06	6.95	17.38	29.77
Pallerols	Abies	7	4.34	5.1	7.22	16.64	23.47	31.47
Pallerols	Abies	8	3.93	4.33	5.63	33.33	43.86	49.94
Pallerols	Abies	9	2.23	3.18	5.73	15.81	24.2	29.7
Pallerols	Abies	10	2.9	3.88	4.7	14.83	17.27	21.4
Pallerols	Abies	11	1.18	2.44	2.77	16.41	23.55	28.08
Pallerols	Abies	12	3.29	4.51	5.65	7.74	18.12	18.44
Pallerols	Abies	13	2.96	4.39	7.01	23.5	34.81	45.53
Pallerols	Abies	14	1.14	1.93	3.62	15	24.74	34.01
Pallerols	Abies	15	2.67	5.34	7.26	24.7	24.91	35.12
Pallerols	Abies	16	0.77	Dead	Dead	2.57	Dead	Dead
Pallerols	Abies	17	4.44	5.25	6.7	28.54	34.89	45.66
