This dataset contains several plant traits measured for 4 species at two altitudinal stages.
The data were taken in Montellà del Cadi, in the Catalan PyreneeSubalpine, in 2016
stage,species,GLI,PB,LB,SB,RB,LWR,SWR,RWR,RMF,RSR,SLA,WatPot
Montane,Fir,15.19916143,5.15,1.79,1.48,1.87,0.35,0.29,0.36,0.56,1.26,112,20.2
Montane,Fir,18.57659831,5.71,2.21,1.66,1.84,0.39,0.29,0.32,0.53,1.11,117.22,21.6
Montane,Fir,8.737864078,3.42,1.23,0.71,1.49,0.36,0.21,0.44,0.68,2.11,121.71,23.5
Montane,Fir,7.92903693,4.55,1.3,0.78,2.47,0.29,0.17,0.54,0.76,3.17,100,26.9
Montane,Fir,41.83976261,4.91,1.82,1.29,1.8,0.37,0.26,0.37,0.58,1.4,65.52,17.8
Montane,Fir,42.12299916,2.57,0.79,0.57,1.21,0.31,0.22,0.47,0.68,2.1,81.72,20.9
Montane,Fir,11.62556618,2.45,0.52,0.54,1.39,0.21,0.22,0.57,0.72,2.58,87.77,23.7
Montane,Fir,10.73558648,4.26,0.46,0.48,3.32,0.11,0.11,0.78,0.87,missing,77.67,28.5
Montane,Fir,27.78595974,3.75,1.21,1.38,1.15,0.32,0.37,0.31,0.45,0.83,100,25.8
Montane,Fir,20.60491493,3.32,1.25,1.02,1.05,0.38,0.31,0.32,0.51,1.03,112.66,20.7
Montane,Fir,9.215844786,6.35,2.31,1.56,2.48,0.36,0.25,0.39,0.61,1.59,112.21,24.6
Montane,Fir,7.162921348,3.32,1.02,0.81,1.5,0.31,0.24,0.45,0.65,1.86,95.56,28.4
Montane,Fir,41.07142857,2.98,0.93,1.04,1.01,0.31,0.35,0.34,0.49,0.97,89.32,33.2
Montane,Fir,19.2513369,2.76,1.19,0.64,0.94,0.43,0.23,0.34,0.6,1.48,104.35,35.4
Montane,Fir,9.059233449,6.72,2.41,1.65,2.67,0.36,0.25,0.4,0.62,1.62,80.47,34.08
Montane,Fir,9.407665505,2.43,0.92,0.73,0.78,0.38,0.3,0.32,0.52,1.06,95.5,31.6
Montane,Fir,17.78656126,2.26,0.56,0.55,1.15,0.25,0.24,0.51,0.68,2.11,86.42,26.7
Montane,Fir,8.677337826,3.33,1.31,0.73,1.29,0.39,0.22,0.39,0.64,1.76,101.87,21.54
Montane,Fir,9.113300493,3.54,0.86,0.55,2.13,0.24,0.16,0.6,0.79,3.87,111.9,27
Montane,Fir,4.898446834,3.78,1.37,1.1,1.31,0.36,0.29,0.35,0.54,1.19,106,23.25
Montane,Fir,20.81513828,3.26,1.19,0.64,1.43,0.37,0.2,0.44,0.69,2.23,76.67,15.1
Montane,Fir,12.83354511,4.23,1.55,1.09,1.59,0.37,0.26,0.38,0.59,1.45,101.08,20.8
